,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,79.12,83,90,1.01,US,1627139215
1,norman wells,35.2226,-97.4395,86.92,70,1,17.27,US,1627139227
2,rikitea,-23.1203,-134.9692,68.61,55,0,3.51,PF,1627139026
3,saldanha,-33.0117,17.9442,60.28,54,11,6.08,ZA,1627139153
4,anibongan,7.3933,125.7189,79.54,87,42,4.16,PH,1627139227
5,cherskiy,68.75,161.3,37.9,87,69,4.23,RU,1627139033
6,ishigaki,24.3448,124.1572,83.52,85,100,22.03,JP,1627139227
7,sao joao da barra,20.5113,76.2129,76.98,80,100,13.13,IN,1627139228
8,bulgan,48.8125,103.5347,59.47,83,100,1.3,MN,1627139228
9,leningradskiy,69.3833,178.4167,36.18,95,100,2.93,RU,1627139228
10,mys shmidta,62.0589,48.6201,51.69,69,97,9.13,RU,1627139229
11,moron,-34.6534,-58.6198,58.8,82,100,11.99,AR,1627139026
12,omboue,-1.5746,9.2618,76.71,66,35,10.8,GA,1627139229
13,busselton,-33.65,115.3333,55.09,75,99,14.07,AU,1627139229
14,ushuaia,-54.8,-68.3,37.02,85,72,4.25,AR,1627139230
15,jamestown,42.097,-79.2353,77.02,60,1,5.99,US,1627139174
16,mataura,-46.1927,168.8643,39.47,91,90,3.67,NZ,1627138998
17,ugoofaaru,5.6667,73.0,82.9,72,100,5.57,MV,1627139230
18,ahipara,-35.1667,173.1667,52.0,87,19,9.08,NZ,1627139230
19,lompoc,34.6391,-120.4579,56.88,98,90,3.44,US,1627139070
20,ligatne,57.2343,25.0406,73.26,55,30,3.0,LV,1627139231
21,daru,-9.0763,143.2092,78.26,85,98,12.66,PG,1627139231
22,constitucion,-35.3333,-72.4167,52.93,82,99,12.15,CL,1627139186
23,hithadhoo,-0.6,73.0833,82.53,78,84,13.13,MV,1627139159
24,coihaique,-45.5752,-72.0662,34.41,100,90,0.0,CL,1627139232
25,tuktoyaktuk,69.4541,-133.0374,48.87,58,97,14.03,CA,1627138996
26,hilo,19.7297,-155.09,74.8,94,90,3.44,US,1627139113
27,pisco,-13.7,-76.2167,64.45,72,90,3.44,PE,1627139129
28,svetlyy,54.675,20.1347,69.85,51,63,9.8,RU,1627139232
29,hermanus,-34.4187,19.2345,63.81,55,78,1.19,ZA,1627139232
30,deogarh,21.5333,84.7333,78.98,89,96,4.63,IN,1627139233
31,yellowknife,62.456,-114.3525,48.56,70,96,5.01,CA,1627139037
32,saint-philippe,-21.3585,55.7679,72.95,80,55,6.53,RE,1627139233
33,klaksvik,62.2266,-6.589,52.72,94,77,21.99,FO,1627139233
34,nikolskoye,59.7035,30.7861,69.4,35,40,6.33,RU,1627139056
35,kurilsk,45.2333,147.8833,63.46,91,71,4.27,RU,1627139234
36,tiksi,71.6872,128.8694,40.78,91,100,6.49,RU,1627139234
37,huancabamba,-5.2386,-79.4506,70.88,39,33,4.34,PE,1627139234
38,castro,-24.7911,-50.0119,70.02,40,0,7.74,BR,1627139235
39,mantua,45.1667,10.7833,95.7,57,51,3.76,IT,1627139235
40,lakes entrance,61.6071,-149.3086,56.21,89,90,0.0,US,1627139235
41,mount isa,53.6597,-1.8537,71.06,74,100,3.0,GB,1627139235
42,wuhu,31.3366,118.3755,76.12,94,100,9.1,CN,1627139236
43,new norfolk,6.6518,-10.5932,75.34,89,100,4.63,LR,1627139236
44,eureka,40.8021,-124.1637,54.21,75,1,3.67,US,1627138987
45,atuona,-9.8,-139.0333,77.94,67,99,15.57,PF,1627139236
46,waingapu,-9.6567,120.2641,72.55,74,6,5.79,ID,1627139237
47,kishtwar,33.3167,75.7667,72.55,90,42,2.62,IN,1627139237
48,seguela,7.9611,-6.6731,83.1,57,100,6.64,CI,1627139237
49,yatou,37.15,122.3833,75.94,80,52,3.96,CN,1627139238
50,rocha,-34.4833,-54.3333,64.17,75,77,8.52,UY,1627139238
51,arraial do cabo,-22.8362,-46.646,76.89,22,0,5.86,BR,1627139238
52,grand centre,38.8755,-109.5012,79.83,42,100,9.69,US,1627139239
53,avera,33.194,-82.5271,86.38,60,0,5.82,US,1627139239
54,kidal,18.4411,1.4078,93.34,40,93,20.74,ML,1627139239
55,dayong,25.0209,118.2898,79.09,91,100,2.51,CN,1627139239
56,penzance,50.1186,-5.5371,69.12,77,20,14.97,GB,1627139240
57,meiganga,6.5167,14.3,74.53,83,69,5.28,CM,1627139240
58,maceio,-9.6658,-35.7353,81.84,65,75,16.11,BR,1627138973
59,dingle,10.9995,122.6711,78.33,83,98,11.45,PH,1627139240
60,formosa do rio preto,-26.1775,-58.1781,84.63,30,0,12.17,AR,1627139240
61,qaanaaq,77.484,-69.3632,40.01,67,69,3.38,GL,1627139241
62,avarua,-21.2078,-159.775,66.25,94,68,3.44,CK,1627139038
63,jalu,29.0331,21.5482,95.74,17,0,15.77,LY,1627139241
64,hobart,-42.8794,147.3294,44.26,86,98,3.0,AU,1627138998
65,albany,42.6001,-73.9662,78.31,67,2,3.67,US,1627139241
66,jacareacanga,-6.2222,-57.7528,94.17,28,84,4.88,BR,1627139242
67,narsaq,60.9167,-46.05,46.62,90,100,5.26,GL,1627138991
68,tasiilaq,65.6145,-37.6368,42.96,97,100,3.04,GL,1627139242
69,kon tum,5.2197,-3.3876,81.95,60,90,9.44,CI,1627139242
70,bethel,41.3712,-73.414,80.06,60,1,1.01,US,1627139243
71,koster,-25.863,26.8976,50.27,26,0,8.57,ZA,1627139243
72,luderitz,-26.6481,15.1594,69.75,29,4,3.58,NA,1627139243
73,palmer,42.1584,-72.3287,79.32,56,20,1.99,US,1627139243
74,nantucket,41.2835,-70.0995,78.91,47,1,4.61,US,1627139128
75,torbay,47.6666,-52.7314,68.76,75,77,7.99,CA,1627139244
76,karratha,-20.7377,116.8463,71.74,58,17,4.34,AU,1627139244
77,seoul,37.5683,126.9778,81.84,58,46,1.5,KR,1627139226
78,bluff,-46.6,168.3333,39.79,80,88,11.77,NZ,1627139187
79,bull savanna,6.1992,-10.2829,79.54,72,100,8.95,LR,1627139245
80,berdigestyakh,62.0989,126.6992,57.24,96,17,5.82,RU,1627139245
81,vaini,-21.2,-175.2,69.96,100,20,1.14,TO,1627139245
82,port alfred,-7.0349,29.7638,80.24,44,5,6.29,CD,1627139072
83,cururupu,-1.8283,-44.8683,84.04,67,44,6.93,BR,1627139246
84,kaitangata,-46.2817,169.8464,39.92,57,62,4.61,NZ,1627138960
85,sobolevo,54.4299,31.8996,70.83,50,93,1.74,RU,1627139246
86,mucurapo,10.6667,-61.5333,84.02,77,100,4.97,TT,1627139246
87,barrow,71.2906,-156.7887,39.22,87,90,0.0,US,1627139055
88,sierra vista,5.1536,-74.9901,77.23,55,100,5.46,CO,1627139247
89,chumikan,54.7183,135.315,55.24,100,100,4.45,RU,1627139247
90,san patricio,13.3034,-4.8956,95.85,35,55,8.99,ML,1627139247
91,butaritari,3.0707,172.7902,83.52,71,0,15.82,KI,1627139193
92,bredasdorp,-34.5322,20.0403,63.28,64,65,1.14,ZA,1627139248
93,mahebourg,-20.4081,57.7,69.26,71,42,10.25,MU,1627139248
94,port hardy,-7.0349,29.7638,80.24,44,5,6.29,CD,1627139072
95,comodoro rivadavia,-13.6631,-59.7858,86.7,28,6,7.27,BR,1627139248
96,safaga,26.7292,33.9365,89.38,42,0,9.51,EG,1627139249
97,cape town,-36.413,-71.9028,51.33,79,90,9.71,CL,1627139023
98,findlay,41.0442,-83.6499,81.25,69,40,10.36,US,1627139249
99,carnarvon,-24.8667,113.6333,62.67,64,40,6.91,AU,1627139249
100,tostedt,53.2833,9.7167,84.81,53,96,8.84,DE,1627139250
101,yishui,35.7847,118.6281,72.73,89,94,2.86,CN,1627139250
102,hirara,24.8,125.2833,84.88,77,99,19.66,JP,1627139250
103,sehithwa,-20.4667,22.7167,71.38,26,0,11.12,BW,1627139251
104,meadow lake,45.5291,-102.2163,80.29,16,0,8.05,US,1627139251
105,nhulunbuy,-12.2333,136.7667,70.41,88,2,0.0,AU,1627139251
106,longyearbyen,78.2186,15.6401,46.24,76,75,9.22,SJ,1627139189
107,punta arenas,8.9897,125.34,80.6,81,74,1.66,PH,1627139252
108,thompson,55.7435,-97.8558,68.56,52,78,14.0,CA,1627139252
109,ghiror,27.1833,78.8,91.27,58,56,11.18,IN,1627139252
110,kavieng,-2.5744,150.7967,82.31,77,4,10.89,PG,1627139252
111,kodiak,57.79,-152.4072,54.91,94,90,0.0,US,1627139056
112,hasaki,35.7333,140.8333,77.4,83,0,5.99,JP,1627139253
113,shimoda,34.6667,138.95,80.71,83,0,6.89,JP,1627139253
114,bambous virieux,-20.2567,57.4061,68.14,70,21,9.1,MU,1627139253
115,namatanai,-3.6667,152.4333,78.8,82,33,6.11,PG,1627139154
116,provideniya,64.3833,-173.3,47.25,98,100,9.53,RU,1627139254
117,ribeira grande,42.7461,-8.4439,72.52,82,75,4.61,ES,1627139254
118,betong,5.7743,101.0723,73.47,98,76,1.05,TH,1627139254
119,arrecife,28.963,-13.5477,80.58,61,20,21.85,ES,1627139207
120,marsh harbour,53.6512,-1.8078,72.16,74,100,3.0,GB,1627139255
121,babayurt,43.6002,46.7789,83.19,44,97,6.98,RU,1627139255
122,bow island,43.1331,-71.5491,77.2,66,1,1.01,US,1627139255
123,esmeraldas,-19.7625,-44.3139,70.66,35,0,8.08,BR,1627139256
124,bereda,43.2686,-7.5406,68.41,64,74,6.78,ES,1627139256
125,shevchenkove,49.6959,37.1735,82.18,45,74,9.28,UA,1627139256
126,faanui,-16.4833,-151.75,77.94,65,17,13.89,PF,1627139256
127,muvattupula,9.9667,76.5833,76.75,94,68,1.19,IN,1627139257
128,beringovskiy,63.05,179.3167,50.34,91,100,8.66,RU,1627139257
129,airai,-8.9266,125.4092,56.73,45,14,2.93,TL,1627139063
130,pali,25.7667,73.3333,95.58,43,100,8.16,IN,1627139258
131,kahului,20.8947,-156.47,77.85,92,14,5.99,US,1627139032
132,gorontalo,0.5412,123.0595,75.13,84,99,3.4,ID,1627139258
133,christchurch,-43.5333,172.6333,47.91,88,6,8.01,NZ,1627139109
134,caravelas,-17.7125,-39.2481,76.96,58,37,11.7,BR,1627139067
135,cabo san lucas,-8.2833,-35.0333,80.53,64,11,14.36,BR,1627139258
136,hobyo,5.3505,48.5268,79.23,70,89,29.42,SO,1627139259
137,manaure,11.7751,-72.4445,88.14,57,72,15.97,CO,1627139259
138,ballina,-28.8667,153.5667,56.79,59,1,13.69,AU,1627139069
139,severo-kurilsk,50.6789,156.125,53.83,96,85,3.18,RU,1627139259
140,porto novo,41.1496,-8.611,75.2,72,75,1.99,PT,1627139260
141,lavrentiya,65.5833,-171.0,47.7,87,100,8.75,RU,1627139260
142,vardo,70.3705,31.1107,53.8,79,96,27.65,NO,1627139260
143,georgetown,5.4112,100.3354,85.89,69,20,0.0,MY,1627139151
144,chuy,-33.6971,-53.4616,67.15,69,48,2.51,UY,1627139261
145,payo,-3.7508,103.6372,74.1,90,33,3.04,ID,1627139261
146,srandakan,-7.9386,110.2506,75.81,81,1,6.8,ID,1627139261
147,erdaojiang,41.7764,126.0319,71.53,89,61,0.92,CN,1627139261
148,puerto ayora,36.5939,-6.233,95.61,37,0,14.97,ES,1627139000
149,sorong,-0.8833,131.25,78.12,87,100,15.9,ID,1627139262
150,sinnamary,5.3833,-52.95,84.74,67,86,11.61,GF,1627139262
151,tsabong,-26.0217,22.401,64.0,21,0,10.27,BW,1627139263
152,esperance,-33.8667,121.9,53.2,74,16,17.9,AU,1627139263
153,muret,43.3333,1.25,82.74,43,85,10.4,FR,1627139263
154,saskylakh,71.9167,114.0833,55.31,70,91,4.21,RU,1627139079
155,eyl,7.9803,49.8164,79.72,66,100,29.57,SO,1627139263
156,dolores,-36.3132,-57.6792,55.45,49,100,15.26,AR,1627139264
157,bengkulu,-3.8004,102.2655,78.22,83,6,6.98,ID,1627139264
158,alugan,12.2188,125.4808,83.08,67,16,13.06,PH,1627139265
159,dom pedro,5.65,-0.2361,84.31,53,54,15.1,GH,1627139265
160,suleja,9.1758,7.1808,74.1,88,97,6.8,NG,1627139265
161,upernavik,72.7868,-56.1549,38.88,91,99,7.14,GL,1627139266
162,college,64.8569,-147.8028,61.59,95,90,4.61,US,1627139266
163,clyde river,41.3042,-82.9752,81.01,76,78,14.07,US,1627139028
164,wewak,-3.5534,143.6268,77.11,88,55,4.21,PG,1627139266
165,sangar,63.9242,127.4739,62.73,54,6,7.25,RU,1627139266
166,redlands,34.0556,-117.1825,88.93,66,75,0.0,US,1627138968
167,alta floresta,69.9689,23.2717,54.64,81,75,7.0,NO,1627139267
168,husavik,66.0449,-17.3389,61.93,67,96,16.31,IS,1627139039
169,revelstoke,50.9832,-118.2023,69.13,49,6,1.61,CA,1627139267
170,dikson,73.5069,80.5464,37.85,97,100,27.16,RU,1627139042
171,pevek,69.7008,170.3133,37.2,94,90,3.91,RU,1627139268
172,mar del plata,43.4002,-4.0094,75.15,70,20,10.0,ES,1627139069
173,pasighat,28.0667,95.3333,79.59,96,98,3.04,IN,1627139268
174,tautira,-17.7333,-149.15,69.82,68,0,8.75,PF,1627139094
175,olafsvik,64.8945,-23.7142,50.97,93,99,11.68,IS,1627139268
176,tommot,58.9564,126.2925,60.39,98,100,4.56,RU,1627139269
177,pangody,65.85,74.4859,57.92,85,100,5.61,RU,1627139269
178,yulara,-25.2406,130.9889,48.04,49,68,6.91,AU,1627139269
179,salalah,17.0151,54.0924,78.89,94,90,8.05,OM,1627139269
180,wukari,7.85,9.7833,81.03,71,97,9.46,NG,1627139270
181,lebu,-37.6167,-73.65,51.28,76,17,7.87,CL,1627139270
182,gibara,21.1097,-76.1317,88.92,66,66,10.92,CU,1627139271
183,belgrade,44.804,20.4651,85.66,40,0,5.75,RS,1627139058
184,laguna,38.421,-121.4238,81.1,65,1,4.0,US,1627139271
185,spearfish,44.4908,-103.8594,81.88,48,1,1.01,US,1627139271
186,geraldton,-28.7667,114.6,55.81,88,90,6.91,AU,1627139272
187,cortes,41.9395,-1.4396,87.85,19,99,10.16,ES,1627139272
188,acireale,37.6125,15.1663,93.2,49,0,1.99,IT,1627139272
189,tahe,52.3333,124.7333,60.85,97,99,4.32,CN,1627139273
190,stettler,52.3168,-112.7186,65.34,42,6,6.69,CA,1627139040
191,kaura namoda,12.2928,4.4627,86.88,51,76,13.76,NG,1627139273
192,krasnoshchekovo,51.6708,82.7289,67.17,84,9,4.85,RU,1627139273
193,san cristobal,13.3034,-4.8956,95.85,35,55,8.99,ML,1627139247
194,semporna,4.4818,118.6112,80.35,87,29,6.44,MY,1627139274
195,ushtobe,45.2514,77.9838,85.42,20,0,6.4,KZ,1627139274
196,saint-georges,12.0564,-61.7485,82.45,77,100,13.2,GD,1627139274
197,wanaka,-44.7,169.15,36.32,87,100,5.23,NZ,1627139274
198,upata,8.0086,-62.3989,82.18,70,62,7.85,VE,1627139275
199,teguise,29.0605,-13.564,77.22,61,20,21.85,ES,1627139275
200,vikhorevka,56.1201,101.1636,69.39,62,15,2.51,RU,1627139275
201,port moresby,-7.0349,29.7638,80.24,44,5,6.29,CD,1627139036
202,pokrovka,42.3414,78.0056,68.97,36,0,5.73,KG,1627139275
203,port elizabeth,-7.0349,29.7638,80.24,44,5,6.29,CD,1627139065
204,souillac,-20.5167,57.5167,69.37,72,13,9.66,MU,1627139276
205,grand river south east,38.8755,-109.5012,79.83,42,100,9.69,US,1627139009
206,deputatskiy,69.3,139.9,47.08,72,76,6.46,RU,1627139276
207,boende,-0.2167,20.8667,87.67,40,100,2.39,CD,1627139277
208,wadi maliz,17.0667,76.9833,79.79,74,93,15.82,IN,1627139277
209,guerrero negro,17.6667,-100.0,72.84,74,14,2.8,MX,1627139277
210,coquimbo,-29.9533,-71.3436,53.33,93,90,10.36,CL,1627139265
211,ust-maya,60.4167,134.5333,68.13,99,100,7.78,RU,1627139277
212,farrukhabad,27.4,79.5667,90.19,62,41,7.85,IN,1627139278
213,illapel,-31.6308,-71.1653,56.28,68,100,6.33,CL,1627139278
214,burns lake,43.5863,-119.0541,69.42,28,1,3.44,US,1627139278
215,zhigansk,66.7697,123.3711,58.86,73,4,18.07,RU,1627139102
216,praia da vitoria,14.9215,-23.5087,84.74,48,40,13.8,CV,1627139279
217,taoudenni,22.6783,-3.9836,113.47,5,6,9.82,ML,1627139077
218,juegang,32.3174,121.1855,79.11,86,100,21.25,CN,1627139279
219,champerico,14.3,-91.9167,91.72,80,100,5.35,GT,1627139279
220,bilibino,68.0546,166.4372,43.79,82,57,1.34,RU,1627139280
221,flin flon,48.4982,6.6557,76.26,79,80,6.55,FR,1627139280
222,beloha,-25.1667,45.05,62.56,62,70,7.7,MG,1627139280
223,east london,65.0,-15.0,61.86,66,97,18.41,IS,1627139016
224,sayyan,15.1718,44.3244,68.09,52,78,11.52,YE,1627139281
225,evensk,61.95,159.2333,50.11,97,100,2.15,RU,1627139064
226,khatanga,71.9667,102.5,62.37,83,100,7.72,RU,1627139281
227,tulsipur,28.131,82.2973,78.06,88,26,3.15,NP,1627139282
228,fort morgan,52.6517,6.3861,79.18,66,100,5.41,NL,1627139282
229,puerto escondido,36.5939,-6.233,95.61,37,0,14.97,ES,1627139000
230,ariquemes,-9.9133,-63.0408,93.87,27,38,3.44,BR,1627139282
231,santa fe,17.486,120.4348,78.33,92,100,11.3,PH,1627139283
232,necochea,-38.5473,-58.7368,52.03,52,85,15.86,AR,1627139135
233,liverpool,53.4106,-2.9779,75.74,60,20,3.0,GB,1627139283
234,isangel,-19.55,169.2667,75.22,86,6,2.91,VU,1627139283
235,mehamn,71.0357,27.8492,45.0,82,100,26.96,NO,1627139284
236,chinchani,19.8667,72.7,81.59,87,100,14.74,IN,1627139284
237,mikhaylovskaya,44.9947,40.5964,80.96,43,65,8.16,RU,1627139284
238,vila velha,42.0304,-8.1588,67.75,65,65,7.63,PT,1627139285
239,talara,-4.5772,-81.2719,74.16,68,0,10.36,PE,1627139285
240,viedma,-40.8135,-62.9967,51.15,42,100,10.0,AR,1627139078
241,havre-saint-pierre,50.2334,-63.5986,59.85,83,91,5.68,CA,1627139285
242,touros,-5.1989,-35.4608,85.59,52,8,20.18,BR,1627139038
243,mount gambier,53.6597,-1.8537,71.06,74,100,3.0,GB,1627139235
244,paciran,-6.8767,112.3761,77.97,72,0,6.71,ID,1627139286
245,luanda,-8.8368,13.2343,75.2,73,20,11.5,AO,1627139209
246,gallup,35.5281,-108.7426,64.24,82,75,1.01,US,1627139286
247,port macquarie,-7.0349,29.7638,80.24,44,5,6.29,CD,1627139036
248,brae,60.3964,-1.353,55.31,77,100,7.43,GB,1627139287
249,paita,-5.0892,-81.1144,73.96,74,14,8.5,PE,1627139065
250,celestun,20.8667,-90.4,83.89,69,63,4.16,MX,1627139287
251,bida,9.0833,6.0167,78.93,74,94,5.44,NG,1627139287
252,khonsa,27.0167,95.5667,70.61,97,77,3.33,IN,1627139288
253,bijawar,24.6333,79.5,79.9,87,100,5.99,IN,1627139288
254,grindavik,63.8424,-22.4338,52.27,87,75,16.11,IS,1627139049
255,basco,20.4487,121.9702,82.71,88,99,31.59,PH,1627139032
256,asau,46.4333,26.4,78.28,48,78,2.91,RO,1627139288
257,kodinsk,58.6881,99.1844,67.48,64,20,3.53,RU,1627139289
258,moranbah,-22.0016,148.0466,56.88,48,10,7.85,AU,1627139289
259,pierre,44.3683,-100.351,88.99,68,1,8.99,US,1627139289
260,san quintin,13.3034,-4.8956,95.85,35,55,8.99,ML,1627139135
261,barsovo,61.1667,73.1667,60.93,94,100,5.46,RU,1627139290
262,alexandria,31.2156,29.9553,81.39,63,0,17.25,EG,1627139290
263,cidreira,-30.1811,-50.2056,70.47,49,0,2.44,BR,1627139290
264,doka,13.5167,35.7667,69.26,98,100,7.14,SD,1627139040
265,hovd,48.0056,91.6419,71.38,38,78,2.98,MN,1627139291
266,malumfashi,11.7853,7.6218,79.93,64,80,11.9,NG,1627139291
267,san vicente,13.3034,-4.8956,95.85,35,55,8.99,ML,1627139117
268,ulaanbaatar,47.9077,106.8832,60.73,63,87,4.18,MN,1627139023
269,nanortalik,60.1432,-45.2371,43.84,97,100,11.14,GL,1627139292
270,beitbridge,-22.2167,30.0,65.77,31,3,15.23,ZW,1627139292
271,urengoy,65.9667,78.3667,55.0,98,100,6.38,RU,1627139292
272,byron bay,44.0327,-92.6455,79.05,82,40,4.0,US,1627139292
273,orlik,52.5178,99.825,62.37,72,100,3.74,RU,1627139293
274,baghdad,33.3406,44.4009,111.11,16,0,12.66,IQ,1627139162
275,leshukonskoye,64.8989,45.7622,46.04,93,100,7.25,RU,1627139293
276,kovur,14.4833,79.9833,92.61,45,80,13.06,IN,1627139293
277,eugene,44.0521,-123.0867,69.1,76,1,1.99,US,1627139040
278,fortuna,40.5982,-124.1573,53.94,100,1,0.0,US,1627139294
279,mutata,7.2441,-76.4356,74.53,99,100,1.52,CO,1627139294
280,gazalkent,41.5581,69.7708,98.96,14,0,5.44,UZ,1627139294
281,fairbanks,64.8378,-147.7164,61.61,95,90,1.01,US,1627139121
282,dobryatino,55.5055,41.3195,61.39,63,100,3.13,RU,1627139295
