,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,lipari,38.4674,14.954,88.32,62,0,8.01,IT,1627139295
284,garowe,8.4054,48.4845,83.25,40,92,23.78,SO,1627139295
285,kologriv,58.8275,44.3178,61.07,41,98,6.2,RU,1627139295
286,talnakh,69.4865,88.3972,57.06,66,64,8.61,RU,1627139296
287,kang,-23.6752,22.7876,63.52,23,0,9.69,BW,1627139296
288,petropavlovsk-kamchatskiy,53.0452,158.6483,53.04,92,22,1.3,RU,1627139039
289,mahibadhoo,3.7833,72.9667,82.42,75,96,3.15,MV,1627139296
290,tongren,27.7172,109.1853,74.88,91,45,3.78,CN,1627139297
291,sarkand,45.41,79.9186,76.33,32,0,5.53,KZ,1627139297
292,usinsk,65.9939,57.5281,51.53,81,100,7.34,RU,1627139297
293,anadyr,64.75,177.4833,55.0,100,100,5.99,RU,1627139029
294,bathsheba,13.2167,-59.5167,86.61,74,40,14.97,BB,1627139298
295,victoria,22.2855,114.1577,87.96,85,84,1.01,HK,1627139039
296,pangai,-19.8,-174.35,78.1,81,0,8.12,TO,1627139298
297,guadalupe y calvo,25.6833,-100.25,84.34,72,1,4.61,MX,1627139298
298,poum,-20.2333,164.0167,72.05,85,7,5.84,NC,1627139298
299,qasigiannguit,68.8193,-51.1922,44.85,94,85,8.93,GL,1627139299
300,arlit,18.7369,7.3853,101.35,24,9,4.9,NE,1627139299
301,iralaya,15.0,-83.2333,82.83,74,100,11.95,HN,1627139299
302,svetlogorsk,52.6333,29.7333,72.72,63,73,4.56,BY,1627139300
303,konya,38.1667,32.5,78.28,25,1,12.59,TR,1627139006
304,korla,41.7597,86.1469,94.77,17,0,6.4,CN,1627139300
305,lagoa,39.05,-27.9833,70.88,95,11,14.63,PT,1627139300
306,manta,-0.95,-80.7333,75.87,73,100,5.79,EC,1627139300
307,kattivakkam,13.2167,80.3167,89.69,66,95,10.98,IN,1627139301
308,ust-nera,64.5667,143.2,59.43,97,100,5.68,RU,1627139301
309,iqaluit,63.7506,-68.5145,49.69,66,100,13.0,CA,1627139301
310,batticaloa,7.7102,81.6924,84.74,65,100,9.19,LK,1627139302
311,northam,51.0333,-4.2167,72.66,86,87,13.82,GB,1627139302
312,hualmay,-11.0964,-77.6139,66.16,73,45,7.47,PE,1627139302
313,norrtalje,59.758,18.705,79.29,48,61,6.98,SE,1627139302
314,terny,50.9833,33.9833,75.15,58,76,0.56,UA,1627139303
315,cockburn town,-32.0833,141.0,47.66,70,19,19.08,AU,1627139303
316,jaltepec,19.7333,-98.6333,61.23,56,6,2.06,MX,1627139303
317,dukat,62.55,155.55,47.59,92,100,4.5,RU,1627139304
318,chlorakas,34.8042,32.4083,90.55,65,20,11.5,CY,1627139304
319,zhezkazgan,47.8043,67.7144,93.07,16,19,8.32,KZ,1627139304
320,southbridge,42.0751,-72.0334,79.02,58,0,4.0,US,1627139304
321,palora,-1.7,-77.9333,68.76,75,100,0.4,EC,1627139305
322,labuhan,-6.8844,112.2051,77.29,76,0,5.91,ID,1627139121
323,ziniare,12.5822,-1.2983,86.85,50,100,8.41,BF,1627139305
324,erenhot,43.6475,111.9767,67.75,84,100,9.08,CN,1627139305
325,yumen,40.2833,97.2,78.94,44,100,14.18,CN,1627139306
326,ternate,0.8,127.4,81.37,77,100,6.69,ID,1627139306
327,limbang,4.75,115.0,82.51,97,5,2.15,MY,1627139306
328,mairinque,-23.5458,-47.1833,74.12,29,0,5.93,BR,1627139306
329,goderich,43.7501,-81.7165,69.91,85,96,18.45,CA,1627139307
330,vicuna,-30.0319,-70.7081,46.13,79,100,2.19,CL,1627139227
331,nouadhibou,20.931,-17.0347,68.38,92,2,16.31,MR,1627139307
332,mutsu,41.2894,141.2169,75.0,100,75,5.75,JP,1627139307
333,dalvik,65.9702,-18.5286,62.33,69,100,5.08,IS,1627139307
334,erzin,36.9559,36.2,91.92,60,0,11.16,TR,1627139308
335,kyshtovka,56.555,76.6271,71.56,79,50,5.53,RU,1627139308
336,katherine,-14.4667,132.2667,68.32,49,100,5.75,AU,1627139308
337,kolondieba,11.0882,-6.8926,84.24,62,98,7.78,ML,1627139309
338,hamamatsu,34.7,137.7333,80.65,85,4,1.99,JP,1627139309
339,karauli,26.5,77.0167,92.23,60,96,2.75,IN,1627139172
340,karaj,35.8355,51.0103,100.92,12,0,8.79,IR,1627139309
341,miraflores,19.2167,-98.8083,63.03,57,5,3.2,MX,1627139310
342,tabas,33.5959,56.9244,105.33,8,0,17.81,IR,1627139310
343,northampton,40.8754,-75.2499,80.73,61,4,1.99,US,1627139310
344,altamira,-3.2033,-52.2064,90.64,38,95,6.06,BR,1627139311
345,ribeira brava,42.7461,-8.4439,72.52,82,75,4.61,ES,1627139182
346,kankaanpaa,61.8,22.4167,74.8,37,32,9.4,FI,1627139311
347,teya,60.3778,92.6267,67.86,60,93,2.64,RU,1627139311
348,virginia beach,37.5481,-77.4467,84.18,71,40,4.61,US,1627139312
349,yenagoa,4.9247,6.2642,83.28,57,86,10.29,NG,1627139312
350,malinyi,-8.9333,36.1333,77.99,42,82,2.98,TZ,1627139312
351,okhotsk,59.3833,143.3,56.39,93,93,7.99,RU,1627139312
352,nkoteng,4.5167,12.0333,77.43,79,51,5.53,CM,1627139313
353,ponta do sol,38.7333,-28.2667,74.08,92,16,13.82,PT,1627139313
354,sardarshahr,28.4333,74.4833,96.39,47,94,7.23,IN,1627139313
355,san bartolome de tirajana,13.3034,-4.8956,95.85,35,55,8.99,ML,1627139167
356,tanabe,33.7333,135.3667,77.94,78,59,1.01,JP,1627139314
357,vestmannaeyjar,63.4427,-20.2734,54.59,94,90,14.97,IS,1627139137
358,mercedes,-34.6515,-59.4307,59.04,70,100,13.96,AR,1627139314
359,kampot,10.6167,104.1833,84.25,78,100,14.61,KH,1627139314
360,namibe,-15.1961,12.1522,74.52,55,0,7.61,AO,1627139116
361,sambava,-14.2667,50.1667,72.91,74,6,18.79,MG,1627139314
362,peniche,39.3558,-9.3811,78.62,77,1,12.21,PT,1627139315
363,haveri,14.8,75.4,73.69,87,99,13.4,IN,1627139315
364,locri,38.2414,16.2623,89.51,53,0,6.35,IT,1627139315
365,kaihua,23.3687,104.28,68.27,89,100,1.83,CN,1627139316
366,faya,18.3851,42.4509,79.32,44,87,6.04,SA,1627139316
367,nioki,-2.7167,17.6833,98.38,18,47,3.02,CD,1627139316
368,saint-augustin,51.226,-58.6502,56.68,69,90,8.77,CA,1627139316
369,kruisfontein,-34.0033,24.7314,59.88,43,0,7.67,ZA,1627139317
370,aklavik,68.2191,-135.0107,55.06,52,99,7.23,CA,1627139096
371,tazovskiy,67.4667,78.7,53.76,70,100,5.37,RU,1627139317
372,hami,42.8,93.45,94.42,26,41,5.61,CN,1627139317
373,port hedland,-7.0349,29.7638,80.24,44,5,6.29,CD,1627139036
374,neuquen,-38.9516,-68.0591,47.77,35,100,10.27,AR,1627139318
375,muyezerskiy,63.9333,31.65,58.51,54,100,3.91,RU,1627139318
376,ngama,11.7833,17.1667,90.52,42,92,7.85,TD,1627139318
377,nome,64.5011,-165.4064,44.67,93,90,4.61,US,1627139318
378,luwuk,-0.9516,122.7875,75.63,73,100,5.84,ID,1627139132
379,tabou,4.423,-7.3528,78.73,67,100,7.76,CI,1627139160
380,huarmey,-10.0681,-78.1522,67.39,72,38,8.99,PE,1627139092
381,kindu,-2.95,25.95,93.96,23,53,3.87,CD,1627139319
382,ketchikan,55.3422,-131.6461,55.87,94,90,8.05,US,1627139069
383,sechura,-5.5569,-80.8222,69.21,69,19,5.5,PE,1627139319
384,brandon,27.9378,-82.2859,89.2,80,40,4.0,US,1627139320
385,sola,-13.8833,167.55,80.64,74,95,13.11,VU,1627139320
386,atbasar,51.8,68.3333,81.61,41,99,10.09,KZ,1627139320
387,masallatah,32.6167,14.0,86.25,40,0,15.84,LY,1627139321
388,ambilobe,-13.2,49.05,72.57,65,90,2.71,MG,1627139321
389,egvekinot,66.3167,-179.1667,44.2,98,100,2.26,RU,1627139321
390,berlevag,70.8578,29.0864,45.36,84,100,27.94,NO,1627139321
391,balykshi,47.0667,51.8667,87.8,27,0,13.42,KZ,1627139322
392,konispol,39.6589,20.1814,86.95,44,3,5.23,AL,1627139322
393,mapimi,25.8167,-103.85,75.97,42,65,5.82,MX,1627139322
394,angoche,-16.2325,39.9086,70.74,62,91,20.49,MZ,1627139323
395,camacha,33.0833,-16.3333,74.62,61,20,18.41,PT,1627139323
396,ati,13.2154,18.3353,94.32,35,92,11.52,TD,1627139323
397,kyren,51.6828,102.1408,60.87,81,79,0.34,RU,1627139323
398,progreso,21.2833,-89.6667,87.12,70,100,5.59,MX,1627139324
399,tambura,5.6,27.4667,81.3,61,69,4.56,SS,1627139324
400,ambon,-3.6954,128.1814,78.26,85,100,7.67,ID,1627139324
401,howard springs,39.2504,-76.933,83.68,57,14,3.0,US,1627139325
402,chokurdakh,70.6333,147.9167,34.2,94,18,11.36,RU,1627139325
403,lazaro cardenas,19.4558,-71.3261,93.47,41,4,3.47,DO,1627139077
404,candido mendes,1.2508,-75.6013,71.73,85,100,1.61,CO,1627139325
405,aykhal,66.0,111.5,56.71,60,100,0.76,RU,1627139326
406,linxia,35.6003,103.2064,72.45,65,51,2.57,CN,1627139326
407,san rafael del sur,13.3034,-4.8956,95.85,35,55,8.99,ML,1627139117
408,yar-sale,66.8333,70.8333,56.84,65,100,9.8,RU,1627139326
409,nioro,13.35,-15.75,92.48,37,66,7.0,GM,1627139326
410,san juan,13.3034,-4.8956,95.85,35,55,8.99,ML,1627139135
411,kutum,14.2,24.6667,88.27,34,82,9.46,SD,1627139327
412,manado,1.487,124.8455,77.77,83,40,0.0,ID,1627139327
413,raudeberg,61.9875,5.1352,67.78,92,99,7.27,NO,1627139327
414,gat,31.61,34.7642,85.78,30,2,11.23,IL,1627139328
415,sakata,38.9167,139.855,75.38,87,3,8.48,JP,1627139328
416,richards bay,46.8361,-95.9123,76.5,50,1,6.91,US,1627139328
417,coahuayana,18.7333,-103.6833,81.88,83,97,1.86,MX,1627139328
418,kasongo-lunda,-6.4667,16.8167,95.59,14,0,3.83,CD,1627139329
419,shanhetun,44.7,127.2,75.65,70,87,5.26,CN,1627139118
420,pandan,14.0453,124.1694,82.35,78,72,16.17,PH,1627139329
421,puerto colombia,36.5939,-6.233,95.61,37,0,14.97,ES,1627139329
422,ixtapa,20.7,-105.2,80.22,89,90,5.75,MX,1627139330
423,mareeba,-17.0,145.4333,62.44,96,45,1.59,AU,1627139170
424,yerbogachen,61.2767,108.0108,64.35,70,86,2.86,RU,1627139330
425,klyavlino,54.2649,52.0267,66.79,60,48,10.78,RU,1627139330
426,naze,28.3667,129.4833,78.01,91,100,23.33,JP,1627139331
427,menongue,-14.6585,17.691,80.73,11,0,8.41,AO,1627139331
428,lasa,46.6166,10.7002,82.31,70,93,6.91,IT,1627139128
429,lysa nad labem,49.2394,25.0159,80.74,58,23,7.05,UA,1627139331
430,mogadishu,2.0371,45.3438,76.91,78,72,25.28,SO,1627139331
431,bikramganj,25.2,84.25,86.43,70,24,10.42,IN,1627139332
432,indiana,40.0003,-86.2503,82.78,73,1,12.66,US,1627139332
433,helong,42.5397,128.9972,69.93,93,16,4.54,CN,1627139332
434,barkhan,29.8977,69.5256,93.11,29,28,7.29,PK,1627139333
435,sulaco,14.9167,-87.2667,79.56,68,100,4.23,HN,1627139333
436,prescott valley,34.54,-112.4685,67.35,91,75,3.0,US,1627139333
437,gamba,-2.65,10.0,75.34,68,22,11.27,GA,1627139333
438,sinjar,36.3209,41.8754,100.08,15,0,14.88,IQ,1627139334
439,paamiut,61.994,-49.6678,41.81,98,100,3.42,GL,1627139334
440,elizabeth city,40.664,-74.2107,84.52,54,20,3.44,US,1627139334
441,along,28.1667,94.7667,77.81,99,63,0.94,IN,1627139335
442,togur,58.3631,82.8265,68.61,66,1,3.8,RU,1627139335
443,kaeo,-35.1,173.7833,53.33,91,39,9.24,NZ,1627139335
444,dourbali,11.8091,15.8632,87.87,52,90,6.8,TD,1627139336
445,molteno,-31.3968,26.3625,47.68,20,0,12.33,ZA,1627139336
446,moree,-29.4667,149.85,51.82,66,90,9.22,AU,1627139139
447,matagami,49.7502,-77.6328,69.69,54,100,13.31,CA,1627139336
448,meulaboh,4.1363,96.1285,79.27,83,100,3.78,ID,1627139336
449,benavente,42.0025,-5.6783,80.89,23,30,5.88,ES,1627139337
450,santa marta,17.486,120.4348,78.33,92,100,11.3,PH,1627139337
451,codrington,-38.2667,141.9667,45.43,66,98,17.6,AU,1627139337
452,miandrivazo,-19.5167,45.4667,76.95,37,0,3.69,MG,1627139338
453,ust-abakan,53.8525,91.3742,73.31,78,100,4.47,RU,1627139338
454,cayenne,4.9333,-52.3333,86.09,77,75,5.99,GF,1627139338
455,opuwo,-18.0607,13.84,77.09,8,0,11.97,NA,1627139339
456,kununurra,-15.7667,128.7333,66.18,68,100,0.0,AU,1627139339
457,yulin,22.6333,110.15,82.9,76,61,1.92,CN,1627139339
458,plouzane,48.3833,-4.6167,64.42,94,90,6.91,FR,1627139339
459,marystown,47.1666,-55.1483,60.6,82,98,10.2,CA,1627139340
460,tarbagatay,51.4803,107.3602,60.33,75,0,2.66,RU,1627139340
461,kaputa,-8.4689,29.6619,81.34,30,3,4.52,ZM,1627139340
462,muncie,40.1934,-85.3864,81.72,79,30,1.99,US,1627139341
463,panjab,34.388,67.0233,69.1,31,86,21.97,AF,1627139341
464,guerrero,17.6667,-100.0,72.84,74,14,2.8,MX,1627139277
465,ust-karsk,52.7011,118.8077,59.25,96,74,3.24,RU,1627139341
466,whitefish,48.4111,-114.3376,65.37,56,1,0.0,US,1627139342
467,port-gentil,-0.7193,8.7815,75.38,74,16,11.43,GA,1627139343
468,onalaska,43.8844,-91.2351,82.26,83,40,4.61,US,1627139343
469,ostrovnoy,68.0531,39.5131,48.27,83,100,22.79,RU,1627139343
470,bonnyville,54.2668,-110.735,66.11,43,20,16.17,CA,1627139344
471,acatlan,20.15,-98.45,63.0,49,7,2.57,MX,1627139344
472,aswan,24.0934,32.907,103.53,13,0,18.59,EG,1627139345
473,mian channun,33.1588,106.6852,74.23,91,8,2.17,CN,1627139345
474,guiren,33.6697,118.1889,75.83,91,100,8.25,CN,1627139345
475,jilib,0.4883,42.7854,77.94,64,44,14.14,SO,1627139346
476,sorland,67.667,12.6934,53.67,97,100,14.43,NO,1627139091
477,trebinje,42.7119,18.3442,84.76,44,0,4.61,BA,1627139346
478,west plains,31.8024,-97.0917,84.24,77,75,10.0,US,1627139346
479,lanjaghbyur,40.2715,45.1404,74.17,84,55,9.48,AM,1627139347
480,gao,16.6362,1.637,84.69,46,100,6.02,ML,1627139347
481,tuatapere,-46.1333,167.6833,39.81,84,100,7.61,NZ,1627139347
482,acapulco,16.8634,-99.8901,84.02,70,75,4.61,MX,1627139347
483,tutoia,-2.7619,-42.2744,91.38,48,21,4.61,BR,1627139086
484,margate,51.3813,1.3862,72.3,79,24,4.47,GB,1627139348
485,burnie,-41.0667,145.9167,44.92,79,100,21.61,AU,1627139348
486,castelldefels,41.2779,1.9703,98.53,71,20,5.99,ES,1627139349
487,manfredonia,41.6259,15.9094,89.17,40,3,10.18,IT,1627139349
488,zmeinogorsk,51.1567,82.195,65.44,81,23,2.82,RU,1627139349
489,lages,-27.8161,-50.3261,69.31,40,0,4.09,BR,1627139349
490,kysyl-syr,63.8986,122.7617,65.16,54,49,7.58,RU,1627139350
491,quelimane,-17.8786,36.8883,71.55,60,75,10.36,MZ,1627139350
492,panama city,9.0,-80.0,78.57,86,100,6.2,PA,1627139092
493,neepawa,50.2289,-99.4664,70.81,37,0,16.75,CA,1627139350
494,yuksekova,37.5736,44.2872,82.0,14,0,10.38,TR,1627139351
495,qaqortoq,60.7167,-46.0333,46.9,95,100,7.4,GL,1627139351
496,hamilton,39.1834,-84.5333,82.49,67,1,1.01,US,1627139351
497,hukuntsi,-24.0,21.75,64.81,19,0,10.4,BW,1627139351
498,riberalta,-10.9833,-66.1,92.5,29,3,1.77,BO,1627139352
499,cabra,37.4725,-4.4421,98.04,16,0,7.0,ES,1627139352
500,jaumave,23.4167,-99.3833,74.48,30,6,3.65,MX,1627139352
501,liusha,27.2098,108.59,68.68,95,63,3.31,CN,1627139353
502,punta de bombon,8.9897,125.34,80.6,81,74,1.66,PH,1627139252
503,pilar,-9.5972,-35.9567,80.53,64,41,13.11,BR,1627139353
504,katsuura,35.1333,140.3,82.11,83,0,5.97,JP,1627139353
505,harper,4.375,-7.7169,79.48,64,100,8.28,LR,1627139072
506,preobrazheniye,42.9019,133.9064,73.53,91,1,6.73,RU,1627139354
507,barra do corda,-11.0894,-43.1417,83.26,41,70,12.77,BR,1627139354
508,cascais,38.6979,-9.4215,78.51,58,20,8.99,PT,1627139354
509,pishin,30.5803,66.9961,91.76,18,84,2.39,PK,1627139295
510,cullera,39.1667,-0.25,92.79,79,2,5.99,ES,1627139355
511,orahovac,42.3994,20.6547,84.06,30,33,10.29,XK,1627139355
512,ziro,27.6333,93.8333,68.74,99,56,1.5,IN,1627139355
513,altay,47.8667,88.1167,70.47,44,0,7.47,CN,1627139083
514,shakawe,-18.3667,21.85,78.46,18,0,7.9,BW,1627139356
515,ola,59.5833,151.2833,51.12,95,100,4.83,RU,1627139356
516,auki,-8.7676,160.7034,77.4,86,68,4.05,SB,1627139356
517,shatsk,54.0258,41.7119,66.87,50,90,2.75,RU,1627139356
518,kathu,7.9178,98.3332,87.69,75,100,13.42,TH,1627139357
519,providencia,28.7167,-111.5833,88.09,77,89,8.99,MX,1627139357
520,port blair,-7.0349,29.7638,80.24,44,5,6.29,CD,1627139072
521,ghanzi,-21.5667,21.7833,67.23,22,0,11.1,BW,1627139357
522,imeni poliny osipenko,7.3199,5.9646,79.2,76,88,8.23,NG,1627139358
523,artyshta,54.1222,86.2909,64.44,95,15,4.45,RU,1627139075
524,mandalgovi,45.7625,106.2708,64.72,73,71,9.28,MN,1627139358
525,lorengau,-2.0226,147.2712,80.82,81,9,6.29,PG,1627139358
526,biak,-0.9131,122.8766,75.18,74,100,7.09,ID,1627139359
527,omaruru,-21.4333,15.9333,75.33,5,0,10.13,NA,1627139359
528,dunmore east,41.4198,-75.6324,79.07,61,1,3.0,US,1627139158
529,mabaruma,8.2,-59.7833,82.83,80,100,4.83,GY,1627139359
530,mariental,-24.6333,17.9667,68.67,8,0,12.17,NA,1627139360
531,sitka,57.0531,-135.33,55.29,88,90,3.44,US,1627139351
532,luganville,-15.5333,167.1667,78.22,84,99,3.11,VU,1627139360
533,inverness,57.4791,-4.224,67.98,80,40,8.99,GB,1627139128
534,baie-comeau,49.2168,-68.1489,65.86,63,21,4.79,CA,1627139204
535,abu kamal,24.6,72.7,73.83,75,100,10.42,IN,1627139360
536,gizo,-8.103,156.8419,82.08,77,75,3.71,SB,1627139361
537,gayny,60.3071,54.3241,60.4,41,95,5.28,RU,1627139361
538,langenlois,48.4904,15.6521,87.39,48,6,9.24,AT,1627139361
539,tartus,34.889,35.8866,86.29,72,0,12.46,SY,1627139361
540,high level,33.6123,-95.7472,84.85,69,0,9.71,US,1627139362
541,moose factory,43.6558,-110.7183,65.23,47,1,3.44,US,1627139362
542,nemuro,43.3236,145.575,61.56,97,44,9.69,JP,1627139362
543,vao,-22.6667,167.4833,70.7,85,31,8.23,NC,1627139362
544,khani,41.9563,42.9566,71.17,79,63,5.1,GE,1627139363
545,oblivskaya,48.5362,42.5014,87.37,27,4,6.17,RU,1627139363
546,cordoba,-31.4135,-64.1811,66.67,40,21,5.5,AR,1627139317
547,tromso,69.6496,18.957,57.85,87,75,1.99,NO,1627139363
548,bowen,-20.0167,148.2333,66.63,51,6,7.02,AU,1627139364
549,hachinohe,40.5,141.5,74.82,96,9,2.86,JP,1627139364
550,consuegra,39.4625,-3.608,90.43,10,18,17.67,ES,1627139364
551,roald,62.5833,6.1333,80.11,88,75,6.91,NO,1627139365
552,dawson creek,31.7735,-84.4466,86.38,62,0,6.58,US,1627139365
553,eston,51.1501,-108.7514,66.92,35,1,13.2,CA,1627139365
554,oriximina,-1.7656,-55.8661,91.22,42,99,5.97,BR,1627139365
555,mollendo,-17.0231,-72.0147,62.26,78,68,9.01,PE,1627139366
556,chipinge,-20.1883,32.6236,57.22,40,9,8.86,ZW,1627139366
557,donskoye,45.4552,41.9741,84.69,36,38,7.72,RU,1627139366
558,contamana,-7.3333,-75.0167,86.77,42,19,1.5,PE,1627139366
559,sao filipe,20.5113,76.2129,76.98,80,100,13.13,IN,1627139082
560,broome,42.2506,-75.833,77.56,65,1,1.01,US,1627139190
561,alihe,50.5667,123.7167,63.01,95,100,2.89,CN,1627139119
562,pacific grove,38.482,-90.7415,89.37,78,5,1.01,US,1627139367
563,robertsport,6.7533,-11.3686,77.27,82,100,13.78,LR,1627139367
564,manuk mangkaw,-7.903,111.5033,72.39,86,1,4.45,ID,1627139368
565,bratsk,56.1325,101.6142,68.49,63,20,3.67,RU,1627139368
566,sayat,38.7839,63.8803,100.02,7,0,14.45,TM,1627139368
567,srednekolymsk,67.45,153.6833,47.64,72,100,9.37,RU,1627139368
568,kloulklubed,7.0419,134.2556,82.9,79,100,13.62,PW,1627139101
